AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	age_s	c1_chip_id_s	cell_type_s	experiment_sample_name_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
150	SAMN03485925	SRX996304	NextSeq 500	2015-04-23	158	74	SRR1974986	SRS910196	GSM1658344	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485929	SRX996305	NextSeq 500	2015-04-23	225	106	SRR1974987	SRS910197	GSM1658345	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485930	SRX996306	NextSeq 500	2015-04-23	186	86	SRR1974988	SRS910198	GSM1658346	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485931	SRX996307	NextSeq 500	2015-04-23	287	134	SRR1974989	SRS910194	GSM1658347	prenatal 16-18 W	nochipID4	fetal_replicating	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485932	SRX996308	NextSeq 500	2015-04-23	222	106	SRR1974990	SRS910193	GSM1658348	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485933	SRX996309	NextSeq 500	2015-04-23	259	122	SRR1974991	SRS910195	GSM1658349	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485934	SRX996310	NextSeq 500	2015-04-23	236	109	SRR1974992	SRS910192	GSM1658350	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485926	SRX996311	NextSeq 500	2015-04-23	260	123	SRR1974993	SRS910191	GSM1658351	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485927	SRX996312	NextSeq 500	2015-04-23	250	117	SRR1974994	SRS910190	GSM1658352	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485928	SRX996313	NextSeq 500	2015-04-23	250	117	SRR1974995	SRS910188	GSM1658353	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485935	SRX996314	NextSeq 500	2015-04-23	279	132	SRR1974996	SRS910189	GSM1658354	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486026	SRX996159	NextSeq 500	2015-04-23	426	196	SRR1974841	SRS910343	GSM1658169	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486027	SRX996160	NextSeq 500	2015-04-23	358	166	SRR1974842	SRS910342	GSM1658170	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486079	SRX996161	NextSeq 500	2015-04-23	487	224	SRR1974843	SRS910341	GSM1658171	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486080	SRX996162	NextSeq 500	2015-04-23	303	140	SRR1974844	SRS910340	GSM1658172	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486081	SRX996163	NextSeq 500	2015-04-23	483	221	SRR1974845	SRS910339	GSM1658173	postnatal 21 years	nochipID8	oligodendrocytes	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486082	SRX996164	NextSeq 500	2015-04-23	502	234	SRR1974846	SRS910337	GSM1658174	postnatal 21 years	nochipID8	astrocytes	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486083	SRX996165	NextSeq 500	2015-04-15	510	241	SRR1974847	SRS910338	GSM1658175	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486084	SRX996166	NextSeq 500	2015-04-15	309	152	SRR1974848	SRS910335	GSM1658176	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486028	SRX996167	NextSeq 500	2015-04-15	470	221	SRR1974849	SRS910334	GSM1658177	postnatal 21 years	nochipID8	neurons	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486029	SRX996168	NextSeq 500	2015-04-23	486	227	SRR1974850	SRS910336	GSM1658178	postnatal 21 years	nochipID8	hybrid	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486030	SRX996169	NextSeq 500	2015-04-23	603	276	SRR1974851	SRS910332	GSM1658179	postnatal 21 years	nochipID8	oligodendrocytes	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03486031	SRX996170	NextSeq 500	2015-04-23	538	247	SRR1974852	SRS910333	GSM1658180	postnatal 21 years	nochipID8	oligodendrocytes	AB_S7	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485948	SRX996267	Illumina MiSeq	2015-04-15	440	307	SRR1974949	SRS910233	GSM1658307	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485949	SRX996268	Illumina MiSeq	2015-04-15	397	277	SRR1974950	SRS910234	GSM1658308	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485950	SRX996269	Illumina MiSeq	2015-04-15	428	298	SRR1974951	SRS910235	GSM1658309	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485951	SRX996270	Illumina MiSeq	2015-04-15	505	352	SRR1974952	SRS910232	GSM1658310	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485952	SRX996271	Illumina MiSeq	2015-04-15	319	223	SRR1974953	SRS910231	GSM1658311	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485953	SRX996272	Illumina MiSeq	2015-04-15	367	256	SRR1974954	SRS910230	GSM1658312	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485954	SRX996273	Illumina MiSeq	2015-04-15	404	280	SRR1974955	SRS910229	GSM1658313	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485955	SRX996274	Illumina MiSeq	2015-04-15	490	340	SRR1974956	SRS910228	GSM1658314	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485956	SRX996275	Illumina MiSeq	2015-04-15	413	289	SRR1974957	SRS910227	GSM1658315	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485957	SRX996276	Illumina MiSeq	2015-04-15	275	191	SRR1974958	SRS910226	GSM1658316	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485958	SRX996277	Illumina MiSeq	2015-04-15	404	283	SRR1974959	SRS910225	GSM1658317	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485959	SRX996278	Illumina MiSeq	2015-04-15	241	168	SRR1974960	SRS910224	GSM1658318	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485960	SRX996279	Illumina MiSeq	2015-04-15	438	306	SRR1974961	SRS910222	GSM1658319	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485961	SRX996280	Illumina MiSeq	2015-04-15	469	326	SRR1974962	SRS910223	GSM1658320	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485962	SRX996281	Illumina MiSeq	2015-04-15	344	241	SRR1974963	SRS910221	GSM1658321	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485963	SRX996282	Illumina MiSeq	2015-04-15	351	245	SRR1974964	SRS910220	GSM1658322	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485964	SRX996283	Illumina MiSeq	2015-04-15	378	265	SRR1974965	SRS910218	GSM1658323	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485965	SRX996284	Illumina MiSeq	2015-04-15	457	318	SRR1974966	SRS910219	GSM1658324	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485906	SRX996285	Illumina MiSeq	2015-04-15	215	150	SRR1974967	SRS910217	GSM1658325	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485907	SRX996286	Illumina MiSeq	2015-04-15	414	289	SRR1974968	SRS910216	GSM1658326	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485908	SRX996287	Illumina MiSeq	2015-04-15	406	284	SRR1974969	SRS910215	GSM1658327	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485909	SRX996288	Illumina MiSeq	2015-04-15	401	281	SRR1974970	SRS910214	GSM1658328	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485910	SRX996289	Illumina MiSeq	2015-04-15	337	236	SRR1974971	SRS910213	GSM1658329	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485911	SRX996290	Illumina MiSeq	2015-04-15	369	258	SRR1974972	SRS910212	GSM1658330	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485912	SRX996291	Illumina MiSeq	2015-04-15	354	246	SRR1974973	SRS910211	GSM1658331	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485913	SRX996292	Illumina MiSeq	2015-04-15	455	317	SRR1974974	SRS910210	GSM1658332	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485914	SRX996293	Illumina MiSeq	2015-04-15	263	184	SRR1974975	SRS910209	GSM1658333	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485915	SRX996294	Illumina MiSeq	2015-04-15	287	199	SRR1974976	SRS910208	GSM1658334	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485916	SRX996295	Illumina MiSeq	2015-04-15	357	250	SRR1974977	SRS910207	GSM1658335	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485917	SRX996296	Illumina MiSeq	2015-04-15	336	235	SRR1974978	SRS910206	GSM1658336	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
