BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	source_name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN05946992	SRX2271644	5	3	SRR4455096	SRS1762749	GSM2361498	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946992	SRX2271644	5	3	SRR4455097	SRS1762749	GSM2361498	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946984	SRX2271647	3	2	SRR4455102	SRS1762750	GSM2361501	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946984	SRX2271647	3	2	SRR4455103	SRS1762750	GSM2361501	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946979	SRX2271648	4	3	SRR4455104	SRS1762751	GSM2361502	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946979	SRX2271648	4	3	SRR4455105	SRS1762751	GSM2361502	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946977	SRX2271649	2	1	SRR4455106	SRS1762752	GSM2361503	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946977	SRX2271649	2	1	SRR4455107	SRS1762752	GSM2361503	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946975	SRX2271650	9	6	SRR4455108	SRS1762753	GSM2361504	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946975	SRX2271650	9	6	SRR4455109	SRS1762753	GSM2361504	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946969	SRX2271652	7	4	SRR4455112	SRS1762754	GSM2361506	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946969	SRX2271652	7	4	SRR4455113	SRS1762754	GSM2361506	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946967	SRX2271653	6	4	SRR4455114	SRS1762755	GSM2361507	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946967	SRX2271653	6	4	SRR4455115	SRS1762755	GSM2361507	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946972	SRX2271651	2	2	SRR4455110	SRS1762756	GSM2361505	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946972	SRX2271651	2	2	SRR4455111	SRS1762756	GSM2361505	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946965	SRX2271654	13	8	SRR4455116	SRS1762757	GSM2361508	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946965	SRX2271654	13	8	SRR4455117	SRS1762757	GSM2361508	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946963	SRX2271655	12	8	SRR4455118	SRS1762758	GSM2361509	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946963	SRX2271655	12	8	SRR4455119	SRS1762758	GSM2361509	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946961	SRX2271656	20	12	SRR4455120	SRS1762759	GSM2361510	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946961	SRX2271656	20	12	SRR4455121	SRS1762759	GSM2361510	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946959	SRX2271657	18	11	SRR4455122	SRS1762760	GSM2361511	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946959	SRX2271657	18	11	SRR4455123	SRS1762760	GSM2361511	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946957	SRX2271658	11	7	SRR4455124	SRS1762761	GSM2361512	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946957	SRX2271658	11	7	SRR4455125	SRS1762761	GSM2361512	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946955	SRX2271659	8	5	SRR4455126	SRS1762762	GSM2361513	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946955	SRX2271659	8	5	SRR4455127	SRS1762762	GSM2361513	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946954	SRX2271660	11	7	SRR4455128	SRS1762763	GSM2361514	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946954	SRX2271660	11	7	SRR4455129	SRS1762763	GSM2361514	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946950	SRX2271661	1	0	SRR4455130	SRS1762764	GSM2361515	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946950	SRX2271661	1	0	SRR4455131	SRS1762764	GSM2361515	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946948	SRX2271662	12	7	SRR4455132	SRS1762765	GSM2361516	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946948	SRX2271662	12	7	SRR4455133	SRS1762765	GSM2361516	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946947	SRX2271663	13	8	SRR4455134	SRS1762767	GSM2361517	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946947	SRX2271663	13	8	SRR4455135	SRS1762767	GSM2361517	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946945	SRX2271664	16	10	SRR4455136	SRS1762766	GSM2361518	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946945	SRX2271664	16	10	SRR4455137	SRS1762766	GSM2361518	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946944	SRX2271665	15	9	SRR4455138	SRS1762768	GSM2361519	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946944	SRX2271665	15	9	SRR4455139	SRS1762768	GSM2361519	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946942	SRX2271666	12	7	SRR4455140	SRS1762769	GSM2361520	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946942	SRX2271666	12	7	SRR4455141	SRS1762769	GSM2361520	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946952	SRX2271667	12	7	SRR4455142	SRS1762770	GSM2361521	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946952	SRX2271667	12	7	SRR4455143	SRS1762770	GSM2361521	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946940	SRX2271668	12	7	SRR4455144	SRS1762771	GSM2361522	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946940	SRX2271668	12	7	SRR4455145	SRS1762771	GSM2361522	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946938	SRX2271669	0	0	SRR4455146	SRS1762772	GSM2361523	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946938	SRX2271669	0	0	SRR4455147	SRS1762772	GSM2361523	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946104	SRX2271670	8	5	SRR4455148	SRS1762773	GSM2361524	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946104	SRX2271670	8	5	SRR4455149	SRS1762773	GSM2361524	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946103	SRX2271671	10	6	SRR4455150	SRS1762774	GSM2361525	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946103	SRX2271671	10	6	SRR4455151	SRS1762774	GSM2361525	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946102	SRX2271672	11	7	SRR4455152	SRS1762775	GSM2361526	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946102	SRX2271672	11	7	SRR4455153	SRS1762775	GSM2361526	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946101	SRX2271673	11	6	SRR4455154	SRS1762777	GSM2361527	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946101	SRX2271673	11	6	SRR4455155	SRS1762777	GSM2361527	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946100	SRX2271674	8	5	SRR4455156	SRS1762776	GSM2361528	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946100	SRX2271674	8	5	SRR4455157	SRS1762776	GSM2361528	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946099	SRX2271675	10	6	SRR4455158	SRS1762778	GSM2361529	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946099	SRX2271675	10	6	SRR4455159	SRS1762778	GSM2361529	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946098	SRX2271676	9	5	SRR4455160	SRS1762779	GSM2361530	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946098	SRX2271676	9	6	SRR4455161	SRS1762779	GSM2361530	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946097	SRX2271677	8	5	SRR4455162	SRS1762780	GSM2361531	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946097	SRX2271677	8	5	SRR4455163	SRS1762780	GSM2361531	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946096	SRX2271678	14	9	SRR4455164	SRS1762781	GSM2361532	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946096	SRX2271678	14	9	SRR4455165	SRS1762781	GSM2361532	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946095	SRX2271679	2	1	SRR4455166	SRS1762782	GSM2361533	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946095	SRX2271679	2	1	SRR4455167	SRS1762782	GSM2361533	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946094	SRX2271680	13	8	SRR4455168	SRS1762783	GSM2361534	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946094	SRX2271680	13	8	SRR4455169	SRS1762783	GSM2361534	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946093	SRX2271681	18	11	SRR4455170	SRS1762784	GSM2361535	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
