Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	source_name_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	Platform_s	ReleaseDate_s	SRA_Study_s	ethnicity_s	strain_s	supplementary_file_s
RNA-Seq	180	SAMN02195156	SRX300888	cDNA	TRANSCRIPTOMIC	2015-10-31	3349	2274	Homo sapiens	SRR893061	SRS440540	GSM1160127	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	180	SAMN02195157	SRX300889	cDNA	TRANSCRIPTOMIC	2015-10-31	3077	2085	Homo sapiens	SRR893062	SRS440541	GSM1160128	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	180	SAMN02195158	SRX300890	cDNA	TRANSCRIPTOMIC	2015-10-31	3210	2191	Homo sapiens	SRR893063	SRS440542	GSM1160129	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195159	SRX300891	cDNA	TRANSCRIPTOMIC	2015-10-31	1975	1377	Homo sapiens	SRR893064	SRS440543	GSM1160130	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195160	SRX300892	cDNA	TRANSCRIPTOMIC	2015-10-31	2030	1412	Homo sapiens	SRR893065	SRS440544	GSM1160131	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195161	SRX300893	cDNA	TRANSCRIPTOMIC	2015-10-31	2024	1427	Homo sapiens	SRR893066	SRS440545	GSM1160132	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195162	SRX300894	cDNA	TRANSCRIPTOMIC	2015-10-31	1941	1358	Homo sapiens	SRR893067	SRS440546	GSM1160133	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195163	SRX300895	cDNA	TRANSCRIPTOMIC	2015-10-31	1536	1079	Homo sapiens	SRR893068	SRS440547	GSM1160134	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195164	SRX300896	cDNA	TRANSCRIPTOMIC	2015-10-31	1293	900	Homo sapiens	SRR893069	SRS440548	GSM1160135	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195165	SRX300897	cDNA	TRANSCRIPTOMIC	2015-10-31	1363	942	Homo sapiens	SRR893070	SRS440549	GSM1160136	8-cell blastomere	8-cell blastomere	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	98	SAMN02195166	SRX300898	cDNA	TRANSCRIPTOMIC	2015-10-31	1406	983	Homo sapiens	SRR893071	SRS440550	GSM1160137	8-cell blastomere	8-cell embryo	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	180	SAMN02195167	SRX300899	cDNA	TRANSCRIPTOMIC	2015-10-31	2699	1851	Homo sapiens	SRR893072	SRS440551	GSM1160138	morula	morula	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	180	SAMN02195168	SRX300900	cDNA	TRANSCRIPTOMIC	2015-10-31	2807	1893	Homo sapiens	SRR893073	SRS440552	GSM1160139	morula	morula	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
RNA-Seq	180	SAMN02195169	SRX300901	cDNA	TRANSCRIPTOMIC	2015-10-31	3780	2614	Homo sapiens	SRR893074	SRS440553	GSM1160140	morula	morula	PRJNA189204	GEO	public	0	Illumina HiSeq 2000	PAIRED	ILLUMINA	2015-07-22	SRP018525	Han Chinese		Human_expression_mat.txt
