AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	cd10_s	cd135_s	cd34_s	cd38_s	cd45ra_s	cd49f_s	cd7_s	cd90_s	facs_time_s	fsc_a_s	fsc_h_s	fsc_w_s	lin_s	source_name_s	ssc_a_s	ssc_h_s	ssc_w_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
200	SAMN04299971	SRX1454552	2015-11-30	154	111	2017-01-19	SRR2964571	SRS1181511	GSM1956344	559	4384	4248	1551	184	145	-24	52	19553	80866	80493	65840	-73	Lin-CD34+CD38+ bone marrow	46518	47833	63735	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300888	SRX1454608	2015-11-30	184	127	2017-01-19	SRR2964682	SRS1181512	GSM1956400	57669	378	3962	2197	2064	247	543	115	7469	84247	81509	67737	1485	Lin-CD34+CD38+ bone marrow	27100	28965	61317	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300888	SRX1454608	2015-11-30	194	135	2017-01-19	SRR2964683	SRS1181512	GSM1956400	57669	378	3962	2197	2064	247	543	115	7469	84247	81509	67737	1485	Lin-CD34+CD38+ bone marrow	27100	28965	61317	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301446	SRX1454663	2015-11-30	51	36	2017-01-19	SRR2964792	SRS1181513	GSM1956455	434	1664	4988	3461	138	519	221	-166	19665	119450	123788	63239	-41	Lin-CD34+CD38+ bone marrow	58114	54684	69647	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301446	SRX1454663	2015-11-30	50	36	2017-01-19	SRR2964793	SRS1181513	GSM1956455	434	1664	4988	3461	138	519	221	-166	19665	119450	123788	63239	-41	Lin-CD34+CD38+ bone marrow	58114	54684	69647	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301222	SRX1454892	2015-11-30	155	113	2017-01-19	SRR2965250	SRS1181514	GSM1956684	307	10076	11567	971	1723	900	124	1746	4248	95266	94941	65760	312	Lin-CD34+CD38- bone marrow	79359	75501	68885	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301222	SRX1454892	2015-11-30	162	120	2017-01-19	SRR2965251	SRS1181514	GSM1956684	307	10076	11567	971	1723	900	124	1746	4248	95266	94941	65760	312	Lin-CD34+CD38- bone marrow	79359	75501	68885	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301089	SRX1454958	2015-11-30	95	69	2017-01-19	SRR2965382	SRS1181515	GSM1956750	919	3723	6913	339	409	480	250	929	20833	110114	103909	69450	489	Lin-CD34+CD38- bone marrow	57861	57317	66158	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301089	SRX1454958	2015-11-30	87	64	2017-01-19	SRR2965383	SRS1181515	GSM1956750	919	3723	6913	339	409	480	250	929	20833	110114	103909	69450	489	Lin-CD34+CD38- bone marrow	57861	57317	66158	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301154	SRX1455023	2015-11-30	70	47	2017-01-19	SRR2965512	SRS1181516	GSM1956815	561	5075	3858	269	228	795	352	1327	15074	120729	115429	68545	198	Lin-CD34+CD38- bone marrow	46453	45985	66203	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301154	SRX1455023	2015-11-30	99	70	2017-01-19	SRR2965513	SRS1181516	GSM1956815	561	5075	3858	269	228	795	352	1327	15074	120729	115429	68545	198	Lin-CD34+CD38- bone marrow	46453	45985	66203	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301191	SRX1455060	2015-11-30	54	36	2017-01-19	SRR2965586	SRS1181517	GSM1956852	567	7965	12497	973	681	675	376	2439	20621	120784	119165	66427	367	Lin-CD34+CD38- bone marrow	59695	58009	67441	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301191	SRX1455060	2015-11-30	71	50	2017-01-19	SRR2965587	SRS1181517	GSM1956852	567	7965	12497	973	681	675	376	2439	20621	120784	119165	66427	367	Lin-CD34+CD38- bone marrow	59695	58009	67441	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301190	SRX1455059	2015-11-30	0	0	2017-01-19	SRR2965584	SRS1181518	GSM1956851	951	2107	4312	967	138	565	-149	270	20886	107940	100781	70192	101	Lin-CD34+CD38- bone marrow	72968	71821	66583	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301190	SRX1455059	2015-11-30	0	0	2017-01-19	SRR2965585	SRS1181518	GSM1956851	951	2107	4312	967	138	565	-149	270	20886	107940	100781	70192	101	Lin-CD34+CD38- bone marrow	72968	71821	66583	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301189	SRX1455058	2015-11-30	118	78	2017-01-19	SRR2965582	SRS1181519	GSM1956850	896	1673	8100	257	244	552	107	341	21104	131592	124475	69283	586	Lin-CD34+CD38- bone marrow	55182	52767	68535	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301189	SRX1455058	2015-11-30	163	113	2017-01-19	SRR2965583	SRS1181519	GSM1956850	896	1673	8100	257	244	552	107	341	21104	131592	124475	69283	586	Lin-CD34+CD38- bone marrow	55182	52767	68535	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301188	SRX1455057	2015-11-30	36	24	2017-01-19	SRR2965580	SRS1181520	GSM1956849	845	1513	7026	828	687	225	191	854	21358	111436	103190	70773	370	Lin-CD34+CD38- bone marrow	60900	58822	67851	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301188	SRX1455057	2015-11-30	50	35	2017-01-19	SRR2965581	SRS1181520	GSM1956849	845	1513	7026	828	687	225	191	854	21358	111436	103190	70773	370	Lin-CD34+CD38- bone marrow	60900	58822	67851	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301187	SRX1455056	2015-11-30	140	94	2017-01-19	SRR2965578	SRS1181521	GSM1956848	492	3923	5891	1048	652	896	112	415	21556	110474	109481	66130	-338	Lin-CD34+CD38- bone marrow	60256	59577	66283	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301187	SRX1455056	2015-11-30	185	130	2017-01-19	SRR2965579	SRS1181521	GSM1956848	492	3923	5891	1048	652	896	112	415	21556	110474	109481	66130	-338	Lin-CD34+CD38- bone marrow	60256	59577	66283	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301186	SRX1455055	2015-11-30	33	22	2017-01-19	SRR2965576	SRS1181522	GSM1956847	675	3849	5170	872	151	2137	131	728	21755	85066	83672	66628	510	Lin-CD34+CD38- bone marrow	64600	62328	67925	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301186	SRX1455055	2015-11-30	46	32	2017-01-19	SRR2965577	SRS1181522	GSM1956847	675	3849	5170	872	151	2137	131	728	21755	85066	83672	66628	510	Lin-CD34+CD38- bone marrow	64600	62328	67925	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301185	SRX1455054	2015-11-30	230	150	2017-01-19	SRR2965574	SRS1181523	GSM1956846	605	2045	3628	969	263	255	298	658	21967	116020	114798	66233	-279	Lin-CD34+CD38- bone marrow	69032	66122	68420	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301185	SRX1455054	2015-11-30	289	197	2017-01-19	SRR2965575	SRS1181523	GSM1956846	605	2045	3628	969	263	255	298	658	21967	116020	114798	66233	-279	Lin-CD34+CD38- bone marrow	69032	66122	68420	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301184	SRX1455053	2015-11-30	253	166	2017-01-19	SRR2965572	SRS1181524	GSM1956845	544	708	5598	842	281	207	278	1591	22224	104299	91437	74754	532	Lin-CD34+CD38- bone marrow	41891	41929	65477	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301184	SRX1455053	2015-11-30	335	231	2017-01-19	SRR2965573	SRS1181524	GSM1956845	544	708	5598	842	281	207	278	1591	22224	104299	91437	74754	532	Lin-CD34+CD38- bone marrow	41891	41929	65477	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301183	SRX1455052	2015-11-30	52	35	2017-01-19	SRR2965570	SRS1181525	GSM1956844	758	2125	5696	377	152	255	154	2276	22429	97152	96240	66157	304	Lin-CD34+CD38- bone marrow	61383	60656	66322	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301183	SRX1455052	2015-11-30	69	49	2017-01-19	SRR2965571	SRS1181525	GSM1956844	758	2125	5696	377	152	255	154	2276	22429	97152	96240	66157	304	Lin-CD34+CD38- bone marrow	61383	60656	66322	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301182	SRX1455051	2015-11-30	83	55	2017-01-19	SRR2965568	SRS1181526	GSM1956843	879	3029	7468	650	149	4379	-74	5299	22640	123008	114635	70323	1119	Lin-CD34+CD38- bone marrow	70671	68395	67717	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301182	SRX1455051	2015-11-30	115	80	2017-01-19	SRR2965569	SRS1181526	GSM1956843	879	3029	7468	650	149	4379	-74	5299	22640	123008	114635	70323	1119	Lin-CD34+CD38- bone marrow	70671	68395	67717	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301181	SRX1455050	2015-11-30	50	34	2017-01-19	SRR2965566	SRS1181527	GSM1956842	1013	7926	7273	830	7100	1185	204	765	22825	129795	121961	69746	352	Lin-CD34+CD38- bone marrow	64577	61353	68979	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301181	SRX1455050	2015-11-30	62	44	2017-01-19	SRR2965567	SRS1181527	GSM1956842	1013	7926	7273	830	7100	1185	204	765	22825	129795	121961	69746	352	Lin-CD34+CD38- bone marrow	64577	61353	68979	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301180	SRX1455049	2015-11-30	75	51	2017-01-19	SRR2965564	SRS1181528	GSM1956841	49803	10741	15123	838	10805	-45	37	8656	23033	110968	108753	66871	3	Lin-CD34+CD38- bone marrow	47277	46737	66294	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301180	SRX1455049	2015-11-30	105	75	2017-01-19	SRR2965565	SRS1181528	GSM1956841	49803	10741	15123	838	10805	-45	37	8656	23033	110968	108753	66871	3	Lin-CD34+CD38- bone marrow	47277	46737	66294	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301179	SRX1455048	2015-11-30	82	56	2017-01-19	SRR2965562	SRS1181529	GSM1956840	856	4395	7368	222	308	201	83	4359	20390	106456	103536	67385	883	Lin-CD34+CD38- bone marrow	60842	58548	68104	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301179	SRX1455048	2015-11-30	102	73	2017-01-19	SRR2965563	SRS1181529	GSM1956840	856	4395	7368	222	308	201	83	4359	20390	106456	103536	67385	883	Lin-CD34+CD38- bone marrow	60842	58548	68104	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301176	SRX1455047	2015-11-30	109	74	2017-01-19	SRR2965560	SRS1181530	GSM1956839	1180	-106	4745	1053	164	123	-227	-268	20184	122346	114957	69748	450	Lin-CD34+CD38- bone marrow	63815	61049	68505	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301176	SRX1455047	2015-11-30	130	92	2017-01-19	SRR2965561	SRS1181530	GSM1956839	1180	-106	4745	1053	164	123	-227	-268	20184	122346	114957	69748	450	Lin-CD34+CD38- bone marrow	63815	61049	68505	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301175	SRX1455046	2015-11-30	54	37	2017-01-19	SRR2965558	SRS1181531	GSM1956838	1119	1863	10801	-367	356	1027	207	6565	19988	99973	102688	63803	-47	Lin-CD34+CD38- bone marrow	62898	61072	67495	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301175	SRX1455046	2015-11-30	77	55	2017-01-19	SRR2965559	SRS1181531	GSM1956838	1119	1863	10801	-367	356	1027	207	6565	19988	99973	102688	63803	-47	Lin-CD34+CD38- bone marrow	62898	61072	67495	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301174	SRX1455045	2015-11-30	212	137	2017-01-19	SRR2965556	SRS1181532	GSM1956837	771	2403	9435	-176	374	662	151	1722	19791	128744	119640	70523	300	Lin-CD34+CD38- bone marrow	60732	57592	69109	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301174	SRX1455045	2015-11-30	284	193	2017-01-19	SRR2965557	SRS1181532	GSM1956837	771	2403	9435	-176	374	662	151	1722	19791	128744	119640	70523	300	Lin-CD34+CD38- bone marrow	60732	57592	69109	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301173	SRX1455044	2015-11-30	39	27	2017-01-19	SRR2965554	SRS1181533	GSM1956836	1179	2261	5942	643	113	270	147	16	19553	116674	113757	67217	8	Lin-CD34+CD38- bone marrow	61050	60125	66544	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301173	SRX1455044	2015-11-30	48	35	2017-01-19	SRR2965555	SRS1181533	GSM1956836	1179	2261	5942	643	113	270	147	16	19553	116674	113757	67217	8	Lin-CD34+CD38- bone marrow	61050	60125	66544	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301172	SRX1455043	2015-11-30	70	47	2017-01-19	SRR2965552	SRS1181534	GSM1956835	509	1143	6203	900	58	364	343	63	19335	117041	120042	63898	23	Lin-CD34+CD38- bone marrow	57550	56554	66690	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301172	SRX1455043	2015-11-30	88	61	2017-01-19	SRR2965553	SRS1181534	GSM1956835	509	1143	6203	900	58	364	343	63	19335	117041	120042	63898	23	Lin-CD34+CD38- bone marrow	57550	56554	66690	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301171	SRX1455042	2015-11-30	98	66	2017-01-19	SRR2965550	SRS1181535	GSM1956834	1389	3926	14828	476	402	840	-196	7651	19108	127678	122597	68252	729	Lin-CD34+CD38- bone marrow	61199	58817	68190	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301171	SRX1455042	2015-11-30	117	83	2017-01-19	SRR2965551	SRS1181535	GSM1956834	1389	3926	14828	476	402	840	-196	7651	19108	127678	122597	68252	729	Lin-CD34+CD38- bone marrow	61199	58817	68190	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301170	SRX1455041	2015-11-30	79	53	2017-01-19	SRR2965548	SRS1181536	GSM1956833	962	3470	11506	90	204	419	252	5230	18917	96867	94984	66836	492	Lin-CD34+CD38- bone marrow	53259	51560	67696	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301170	SRX1455041	2015-11-30	101	72	2017-01-19	SRR2965549	SRS1181536	GSM1956833	962	3470	11506	90	204	419	252	5230	18917	96867	94984	66836	492	Lin-CD34+CD38- bone marrow	53259	51560	67696	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301178	SRX1455040	2015-11-30	82	55	2017-01-19	SRR2965546	SRS1181537	GSM1956832	1122	5734	10069	787	3688	750	489	831	18723	80959	76539	69321	981	Lin-CD34+CD38- bone marrow	66576	65151	66970	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301178	SRX1455040	2015-11-30	100	71	2017-01-19	SRR2965547	SRS1181537	GSM1956832	1122	5734	10069	787	3688	750	489	831	18723	80959	76539	69321	981	Lin-CD34+CD38- bone marrow	66576	65151	66970	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301177	SRX1455039	2015-11-30	27	18	2017-01-19	SRR2965544	SRS1181538	GSM1956831	944	6492	3628	1018	270	784	100	831	18529	107861	102824	68747	309	Lin-CD34+CD38- bone marrow	54309	54872	64863	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301177	SRX1455039	2015-11-30	35	25	2017-01-19	SRR2965545	SRS1181538	GSM1956831	944	6492	3628	1018	270	784	100	831	18529	107861	102824	68747	309	Lin-CD34+CD38- bone marrow	54309	54872	64863	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
