AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Stage_s	source_name_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
200	SAMN04304275	SRX1456911	317	243	SRR2967465	SRS1184120	GSM1957413	53 days	ESC H9	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304285	SRX1456921	327	248	SRR2967475	SRS1184121	GSM1957423	53 days	ESC H9	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304215	SRX1456941	239	181	SRR2967495	SRS1184122	GSM1957443	53 days	ESC H9	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303723	SRX1456973	308	234	SRR2967527	SRS1184123	GSM1957475	53 days	ESC H9	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303734	SRX1456984	306	213	SRR2967538	SRS1184124	GSM1957486	58 days	iPSC 409B2	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303866	SRX1456995	251	178	SRR2967549	SRS1184125	GSM1957501	58 days	iPSC 409B2	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303751	SRX1457031	652	472	SRR2967585	SRS1184126	GSM1957550	58 days	iPSC 409B2	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303776	SRX1457059	105	74	SRR2967613	SRS1184127	GSM1957579	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303780	SRX1457060	93	65	SRR2967614	SRS1184128	GSM1957581	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04303851	SRX1457101	113	80	SRR2967655	SRS1184129	GSM1957636	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304080	SRX1457120	89	64	SRR2967674	SRS1184130	GSM1957655	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304087	SRX1457127	108	75	SRR2967681	SRS1184283	GSM1957662	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304088	SRX1457128	116	81	SRR2967682	SRS1184282	GSM1957663	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304438	SRX1457131	104	72	SRR2967685	SRS1184131	GSM1957666	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304421	SRX1457157	367	272	SRR2967711	SRS1184132	GSM1957692	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304436	SRX1457172	206	155	SRR2967726	SRS1184133	GSM1957707	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304332	SRX1457188	288	216	SRR2967742	SRS1184134	GSM1957723	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304350	SRX1457207	308	229	SRR2967761	SRS1184135	GSM1957742	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304368	SRX1457224	476	354	SRR2967778	SRS1184136	GSM1957759	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304388	SRX1457244	492	366	SRR2967798	SRS1184137	GSM1957779	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304394	SRX1457250	458	340	SRR2967804	SRS1184167	GSM1957785	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304395	SRX1457251	480	358	SRR2967805	SRS1184166	GSM1957786	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304396	SRX1457252	550	408	SRR2967806	SRS1184165	GSM1957787	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304397	SRX1457253	475	353	SRR2967807	SRS1184164	GSM1957788	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304398	SRX1457254	543	402	SRR2967808	SRS1184163	GSM1957789	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304399	SRX1457255	458	341	SRR2967809	SRS1184162	GSM1957790	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304400	SRX1457256	428	318	SRR2967810	SRS1184161	GSM1957791	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304401	SRX1457257	464	344	SRR2967811	SRS1184160	GSM1957792	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304402	SRX1457258	571	423	SRR2967812	SRS1184159	GSM1957793	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304403	SRX1457259	585	433	SRR2967813	SRS1184157	GSM1957794	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304404	SRX1457260	576	428	SRR2967814	SRS1184158	GSM1957795	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304405	SRX1457261	543	404	SRR2967815	SRS1184156	GSM1957796	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304406	SRX1457262	456	340	SRR2967816	SRS1184138	GSM1957797	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304300	SRX1457263	536	397	SRR2967817	SRS1184155	GSM1957798	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304307	SRX1457264	425	317	SRR2967818	SRS1184154	GSM1957799	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304308	SRX1457265	408	304	SRR2967819	SRS1184153	GSM1957800	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304301	SRX1457266	515	382	SRR2967820	SRS1184152	GSM1957801	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304302	SRX1457267	540	401	SRR2967821	SRS1184151	GSM1957802	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304303	SRX1457268	461	343	SRR2967822	SRS1184150	GSM1957803	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304304	SRX1457269	535	398	SRR2967823	SRS1184149	GSM1957804	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304305	SRX1457270	582	430	SRR2967824	SRS1184148	GSM1957805	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304306	SRX1457271	460	342	SRR2967825	SRS1184147	GSM1957806	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304309	SRX1457272	372	278	SRR2967826	SRS1184146	GSM1957807	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304310	SRX1457273	442	330	SRR2967827	SRS1184145	GSM1957808	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304311	SRX1457274	433	322	SRR2967828	SRS1184144	GSM1957809	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304312	SRX1457275	453	336	SRR2967829	SRS1184143	GSM1957810	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304313	SRX1457276	494	367	SRR2967830	SRS1184139	GSM1957811	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304314	SRX1457277	533	396	SRR2967831	SRS1184141	GSM1957812	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304315	SRX1457278	530	396	SRR2967832	SRS1184142	GSM1957813	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304316	SRX1457279	580	430	SRR2967833	SRS1184140	GSM1957814	13 weeks post-conception	fetal human cortex 2	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304089	SRX1457129	129	90	SRR2967683	SRS1184281	GSM1957664	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304437	SRX1457130	105	74	SRR2967684	SRS1184280	GSM1957665	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304439	SRX1457132	101	71	SRR2967686	SRS1184279	GSM1957667	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304440	SRX1457133	107	75	SRR2967687	SRS1184277	GSM1957668	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304441	SRX1457134	107	75	SRR2967688	SRS1184278	GSM1957669	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304442	SRX1457135	208	158	SRR2967689	SRS1184276	GSM1957670	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304443	SRX1457136	252	191	SRR2967690	SRS1184275	GSM1957671	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304444	SRX1457137	220	166	SRR2967691	SRS1184274	GSM1957672	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304445	SRX1457138	236	181	SRR2967692	SRS1184273	GSM1957673				RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304446	SRX1457139	231	176	SRR2967693	SRS1184272	GSM1957674	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304447	SRX1457140	233	176	SRR2967694	SRS1184271	GSM1957675	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304448	SRX1457141	248	188	SRR2967695	SRS1184270	GSM1957676	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304449	SRX1457142	259	192	SRR2967696	SRS1184269	GSM1957677	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304407	SRX1457143	326	244	SRR2967697	SRS1184268	GSM1957678	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304408	SRX1457144	332	248	SRR2967698	SRS1184266	GSM1957679	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304409	SRX1457145	311	234	SRR2967699	SRS1184267	GSM1957680	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304410	SRX1457146	229	172	SRR2967700	SRS1184265	GSM1957681	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304411	SRX1457147	259	194	SRR2967701	SRS1184264	GSM1957682	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304412	SRX1457148	299	224	SRR2967702	SRS1184262	GSM1957683	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304413	SRX1457149	231	175	SRR2967703	SRS1184263	GSM1957684	12 weeks post-conception	fetal human cortex 1	Fetal neocortex	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
