BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	development_stage_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN00828840	SRX130007	GSM896813: 2-cell #3-C1	2012-08-11	4646	3114	SRR445728	SRS300741	GSM896813	human preimplantation blastomere (2-cell)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828841	SRX130008	GSM896814: 2-cell #3-C2	2012-08-11	5641	3768	SRR445729	SRS300742	GSM896814	human preimplantation blastomere (2-cell)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828842	SRX130009	GSM896815: ES p0#1-C1	2012-08-11	2974	2047	SRR445730	SRS300743	GSM896815	human embryonic stem cell	peri-implantation stem cells	cDNAs of individual cell of human embryonic stem cells	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828843	SRX130010	GSM896816: ES p0#1-C2	2012-08-11	3556	2437	SRR445731	SRS300744	GSM896816	human embryonic stem cell	peri-implantation stem cells	cDNAs of individual cell of human embryonic stem cells	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989115	SRX144340	GSM922146: 4-cell embryo#1 -Cell#1	2012-08-12	4685	3065	SRR490961	SRS310931	GSM922146	human preimplantation blastomere	early blastomere	4-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989116	SRX144341	GSM922147: 4-cell embryo#1 -Cell#2	2012-08-12	4347	2796	SRR490962	SRS310932	GSM922147	human preimplantation blastomere	early blastomere	4-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989117	SRX144342	GSM922148: 4-cell embryo#1 -Cell#3	2012-08-12	4512	2800	SRR490963	SRS310933	GSM922148	human preimplantation blastomere	early blastomere	4-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989118	SRX144343	GSM922149: 4-cell embryo#1 -Cell#4	2012-08-12	3018	1941	SRR490964	SRS310934	GSM922149	human preimplantation blastomere	early blastomere	4-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989119	SRX144344	GSM922150: 4-cell embryo#2 -Cell#1	2012-08-12	5533	3777	SRR490965	SRS310935	GSM922150	human preimplantation blastomere	early blastomere	4-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989120	SRX144345	GSM922151: 4-cell embryo#2 -Cell#2	2012-08-12	5147	3509	SRR490966	SRS310936	GSM922151	human preimplantation blastomere	early blastomere	4-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989121	SRX144346	GSM922152: 4-cell embryo#2 -Cell#3	2012-08-12	4624	3154	SRR490967	SRS310937	GSM922152	human preimplantation blastomere	early blastomere	4-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989122	SRX144347	GSM922153: 4-cell embryo#2 -Cell#4	2012-08-12	5993	4092	SRR490968	SRS310938	GSM922153	human preimplantation blastomere	early blastomere	4-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989123	SRX144348	GSM922154: 4-cell embryo#3 -Cell#1	2012-08-12	5143	3514	SRR490969	SRS310939	GSM922154	human preimplantation blastomere	early blastomere	4-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989124	SRX144349	GSM922155: 4-cell embryo#3 -Cell#2	2012-08-12	5029	3438	SRR490970	SRS310940	GSM922155	human preimplantation blastomere	early blastomere	4-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989125	SRX144350	GSM922156: 4-cell embryo#3 -Cell#3	2012-08-12	3709	2517	SRR490971	SRS310941	GSM922156	human preimplantation blastomere	early blastomere	4-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989126	SRX144351	GSM922157: 4-cell embryo#3 -Cell#4	2012-08-12	5553	3759	SRR490972	SRS310942	GSM922157	human preimplantation blastomere	early blastomere	4-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989127	SRX144352	GSM922158: 8-cell embryo#1 -Cell#1	2012-08-12	3043	2001	SRR490973	SRS310943	GSM922158	human preimplantation blastomere	early blastomere	8-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989128	SRX144353	GSM922159: 8-cell embryo#1 -Cell#2	2012-08-12	2887	1892	SRR490974	SRS310944	GSM922159	human preimplantation blastomere	early blastomere	8-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989129	SRX144354	GSM922160: 8-cell embryo#1 -Cell#3	2012-08-12	3201	2040	SRR490975	SRS310945	GSM922160	human preimplantation blastomere	early blastomere	8-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989130	SRX144355	GSM922161: 8-cell embryo#1 -Cell#4	2012-08-12	3172	2134	SRR490976	SRS310946	GSM922161	human preimplantation blastomere	early blastomere	8-cell embryo#1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989131	SRX144356	GSM922162: 8-cell embryo#2 -Cell#1	2012-08-12	2632	1759	SRR490977	SRS310947	GSM922162	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989132	SRX144357	GSM922163: 8-cell embryo#2 -Cell#2	2012-08-12	3097	2045	SRR490978	SRS310948	GSM922163	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989133	SRX144358	GSM922164: 8-cell embryo#2 -Cell#3	2012-08-12	2696	1777	SRR490979	SRS310949	GSM922164	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989134	SRX144359	GSM922165: 8-cell embryo#2 -Cell#4	2012-08-12	3043	2028	SRR490980	SRS310950	GSM922165	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989135	SRX144360	GSM922166: 8-cell embryo#2 -Cell#5	2012-08-12	3251	2130	SRR490981	SRS310951	GSM922166	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989136	SRX144361	GSM922167: 8-cell embryo#2 -Cell#6	2012-08-12	3087	2020	SRR490982	SRS310952	GSM922167	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989137	SRX144362	GSM922168: 8-cell embryo#2 -Cell#7	2012-08-12	1887	1245	SRR490983	SRS310953	GSM922168	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989138	SRX144363	GSM922169: 8-cell embryo#2 -Cell#8	2012-08-12	2132	1408	SRR490984	SRS310954	GSM922169	human preimplantation blastomere	early blastomere	8-cell embryo#2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989139	SRX144364	GSM922170: 8-cell embryo#3 -Cell#1	2012-08-12	4576	3048	SRR490985	SRS310955	GSM922170	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989140	SRX144365	GSM922171: 8-cell embryo#3 -Cell#2	2012-08-12	4028	2685	SRR490986	SRS310956	GSM922171	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989141	SRX144366	GSM922172: 8-cell embryo#3 -Cell#3	2012-08-12	3441	2281	SRR490987	SRS310957	GSM922172	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989142	SRX144367	GSM922173: 8-cell embryo#3 -Cell#4	2012-08-12	4662	3101	SRR490988	SRS310958	GSM922173	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989143	SRX144368	GSM922174: 8-cell embryo#3 -Cell#5	2012-08-12	4086	2730	SRR490989	SRS310959	GSM922174	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989144	SRX144369	GSM922175: 8-cell embryo#3 -Cell#6	2012-08-12	4530	3031	SRR490990	SRS310960	GSM922175	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989145	SRX144370	GSM922176: 8-cell embryo#3 -Cell#7	2012-08-12	3199	2120	SRR490991	SRS310961	GSM922176	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989146	SRX144371	GSM922177: 8-cell embryo#3 -Cell#8	2012-08-12	4125	2727	SRR490992	SRS310962	GSM922177	human preimplantation blastomere	early blastomere	8-cell embryo#3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989147	SRX144372	GSM922178: Morulae #1 -Cell#1	2012-08-12	4251	2873	SRR490993	SRS310963	GSM922178	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989148	SRX144373	GSM922179: Morulae #1 -Cell#2	2012-08-12	2736	1856	SRR490994	SRS310964	GSM922179	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989149	SRX144374	GSM922180: Morulae #1 -Cell#3	2012-08-12	2656	1801	SRR490995	SRS310965	GSM922180	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989150	SRX144375	GSM922181: Morulae #1 -Cell#4	2012-08-12	3725	2516	SRR490996	SRS310966	GSM922181	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989151	SRX144376	GSM922182: Morulae #1 -Cell#5	2012-08-12	3232	2199	SRR490997	SRS310967	GSM922182	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989152	SRX144377	GSM922183: Morulae #1 -Cell#6	2012-08-12	2812	1900	SRR490998	SRS310968	GSM922183	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989153	SRX144378	GSM922184: Morulae #1 -Cell#7	2012-08-12	2320	1570	SRR490999	SRS310969	GSM922184	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989154	SRX144379	GSM922185: Morulae #1 -Cell#8	2012-08-12	2807	1916	SRR491000	SRS310970	GSM922185	human preimplantation blastomere	early blastomere	Morulae #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989155	SRX144380	GSM922186: Morulae #2 -Cell#1	2012-08-12	3722	2400	SRR491001	SRS310971	GSM922186	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989156	SRX144381	GSM922187: Morulae #2 -Cell#2	2012-08-12	3537	2307	SRR491002	SRS310972	GSM922187	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989157	SRX144382	GSM922188: Morulae #2 -Cell#3	2012-08-12	2397	1544	SRR491003	SRS310973	GSM922188	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989158	SRX144383	GSM922189: Morulae #2 -Cell#4	2012-08-12	3914	2554	SRR491004	SRS310974	GSM922189	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989159	SRX144384	GSM922190: Morulae #2 -Cell#5	2012-08-12	3213	2097	SRR491005	SRS310975	GSM922190	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989160	SRX144385	GSM922191: Morulae #2 -Cell#6	2012-08-12	3476	2252	SRR491006	SRS310976	GSM922191	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989161	SRX144386	GSM922192: Morulae #2 -Cell#7	2012-08-12	2549	1626	SRR491007	SRS310977	GSM922192	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989162	SRX144387	GSM922193: Morulae #2 -Cell#8	2012-08-12	3527	2235	SRR491008	SRS310978	GSM922193	human preimplantation blastomere	early blastomere	Morulae #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989163	SRX144388	GSM922194: Late blastocyst #1 -Cell#1	2012-08-12	4272	2945	SRR491009	SRS310979	GSM922194	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989164	SRX144389	GSM922195: Late blastocyst #1 -Cell#2	2012-08-12	2040	1409	SRR491010	SRS310980	GSM922195	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989165	SRX144390	GSM922196: Late blastocyst #1 -Cell#3	2012-08-12	3174	2159	SRR491011	SRS310981	GSM922196	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989166	SRX144391	GSM922197: Late blastocyst #1 -Cell#4	2012-08-12	3499	2417	SRR491012	SRS310982	GSM922197	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989167	SRX144392	GSM922198: Late blastocyst #1 -Cell#5	2012-08-12	3230	2230	SRR491013	SRS310983	GSM922198	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989168	SRX144393	GSM922199: Late blastocyst #1 -Cell#6	2012-08-12	2305	1595	SRR491014	SRS310984	GSM922199	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
