AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	age_s	inferred_cell_type_s	source_name_s	strain_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s
86	SAMN05561294	SRX2044599	2016-08-24	111	101	Homo sapiens	SRR4055073	SRS1637098	GSM2268349	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561293	SRX2044600	2016-08-24	107	98	Homo sapiens	SRR4055074	SRS1637099	GSM2268350	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561292	SRX2044601	2016-08-24	137	126	Homo sapiens	SRR4055075	SRS1637100	GSM2268351	pooled male and female	7w	hDA0	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561291	SRX2044602	2016-08-24	169	154	Homo sapiens	SRR4055077	SRS1637101	GSM2268352	pooled male and female	7w	hNbM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561290	SRX2044603	2016-08-24	62	57	Homo sapiens	SRR4055078	SRS1637102	GSM2268353	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561289	SRX2044604	2016-08-24	129	118	Homo sapiens	SRR4055079	SRS1637103	GSM2268354	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561288	SRX2044605	2016-08-24	128	117	Homo sapiens	SRR4055080	SRS1637104	GSM2268355	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561287	SRX2044606	2016-08-24	116	105	Homo sapiens	SRR4055081	SRS1637105	GSM2268356	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561286	SRX2044607	2016-08-24	122	111	Homo sapiens	SRR4055082	SRS1637106	GSM2268357	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561285	SRX2044608	2016-08-24	14	13	Homo sapiens	SRR4055083	SRS1637107	GSM2268358	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561284	SRX2044609	2016-08-24	34	31	Homo sapiens	SRR4055084	SRS1637108	GSM2268359	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561283	SRX2044610	2016-08-24	119	109	Homo sapiens	SRR4055085	SRS1637109	GSM2268360	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561282	SRX2044611	2016-08-24	217	195	Homo sapiens	SRR4055086	SRS1637110	GSM2268361	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561281	SRX2044612	2016-08-24	141	128	Homo sapiens	SRR4055087	SRS1637111	GSM2268362	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561280	SRX2044613	2016-08-24	115	103	Homo sapiens	SRR4055088	SRS1637112	GSM2268363	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561279	SRX2044614	2016-08-24	186	169	Homo sapiens	SRR4055089	SRS1637113	GSM2268364	pooled male and female	7w	hProgFPL	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561278	SRX2044615	2016-08-24	186	170	Homo sapiens	SRR4055090	SRS1637114	GSM2268365	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561277	SRX2044616	2016-08-24	53	48	Homo sapiens	SRR4055091	SRS1637115	GSM2268366	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561276	SRX2044617	2016-08-24	152	138	Homo sapiens	SRR4055092	SRS1637116	GSM2268367	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561275	SRX2044618	2016-08-24	81	75	Homo sapiens	SRR4055093	SRS1637117	GSM2268368	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561088	SRX2044619	2016-08-24	176	160	Homo sapiens	SRR4055094	SRS1637118	GSM2268369	pooled male and female	7w	hProgFPL	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561087	SRX2044620	2016-08-24	126	115	Homo sapiens	SRR4055095	SRS1637119	GSM2268370	pooled male and female	7w	hEndo	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561086	SRX2044621	2016-08-24	159	146	Homo sapiens	SRR4055096	SRS1637120	GSM2268371	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561085	SRX2044622	2016-08-24	119	108	Homo sapiens	SRR4055097	SRS1637121	GSM2268372	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561083	SRX2044624	2016-08-24	119	108	Homo sapiens	SRR4055099	SRS1637122	GSM2268374	pooled male and female	7w	hProgFPM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561084	SRX2044623	2016-08-24	210	189	Homo sapiens	SRR4055098	SRS1637123	GSM2268373	pooled male and female	7w	hProgM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561082	SRX2044625	2016-08-24	82	75	Homo sapiens	SRR4055100	SRS1637124	GSM2268375	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561081	SRX2044626	2016-08-24	123	111	Homo sapiens	SRR4055101	SRS1637125	GSM2268376	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561080	SRX2044627	2016-08-24	108	99	Homo sapiens	SRR4055102	SRS1637126	GSM2268377	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561079	SRX2044628	2016-08-24	118	107	Homo sapiens	SRR4055103	SRS1637127	GSM2268378	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561078	SRX2044629	2016-08-24	173	157	Homo sapiens	SRR4055104	SRS1637128	GSM2268379	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05562051	SRX2044630	2016-08-24	96	88	Homo sapiens	SRR4055105	SRS1637129	GSM2268380	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561076	SRX2044632	2016-08-24	96	87	Homo sapiens	SRR4055107	SRS1637130	GSM2268382	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561077	SRX2044631	2016-08-24	140	127	Homo sapiens	SRR4055106	SRS1637131	GSM2268381	pooled male and female	7w	hRgl2b	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561075	SRX2044633	2016-08-24	151	139	Homo sapiens	SRR4055108	SRS1637132	GSM2268383	pooled male and female	7w	hNbML5	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561074	SRX2044634	2016-08-24	264	240	Homo sapiens	SRR4055109	SRS1637133	GSM2268384	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561073	SRX2044635	2016-08-24	36	33	Homo sapiens	SRR4055110	SRS1637134	GSM2268385	pooled male and female	7w	hEndo	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561072	SRX2044636	2016-08-24	41	37	Homo sapiens	SRR4055111	SRS1637135	GSM2268386	pooled male and female	7w	hNbM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561070	SRX2044638	2016-08-24	129	118	Homo sapiens	SRR4055113	SRS1637136	GSM2268388	pooled male and female	7w	hRgl3	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561071	SRX2044637	2016-08-24	134	122	Homo sapiens	SRR4055112	SRS1637137	GSM2268387	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561069	SRX2044639	2016-08-24	262	236	Homo sapiens	SRR4055114	SRS1637138	GSM2268389	pooled male and female	7w	hProgM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561068	SRX2044640	2016-08-24	175	159	Homo sapiens	SRR4055115	SRS1637139	GSM2268390	pooled male and female	7w	hNbML5	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561067	SRX2044641	2016-08-24	197	179	Homo sapiens	SRR4055116	SRS1637140	GSM2268391	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561066	SRX2044642	2016-08-24	121	110	Homo sapiens	SRR4055117	SRS1637141	GSM2268392	pooled male and female	7w	hNbM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561065	SRX2044643	2016-08-24	89	87	Homo sapiens	SRR4055118	SRS1637142	GSM2268393	pooled male and female	7w	hRN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561064	SRX2044644	2016-08-24	117	113	Homo sapiens	SRR4055119	SRS1637143	GSM2268394	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561062	SRX2044645	2016-08-24	98	97	Homo sapiens	SRR4055120	SRS1637144	GSM2268395	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561061	SRX2044646	2016-08-24	132	128	Homo sapiens	SRR4055121	SRS1637145	GSM2268396	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561060	SRX2044647	2016-08-24	108	105	Homo sapiens	SRR4055122	SRS1637146	GSM2268397	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561059	SRX2044648	2016-08-24	92	90	Homo sapiens	SRR4055123	SRS1637147	GSM2268398	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561063	SRX2044649	2016-08-24	220	210	Homo sapiens	SRR4055124	SRS1637148	GSM2268399	pooled male and female	7w	hPeric	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561053	SRX2044650	2016-08-24	84	83	Homo sapiens	SRR4055125	SRS1637149	GSM2268400	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561147	SRX2044651	2016-08-24	76	74	Homo sapiens	SRR4055126	SRS1637150	GSM2268401	pooled male and female	7w	hNbML5	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561146	SRX2044652	2016-08-24	99	96	Homo sapiens	SRR4055127	SRS1637151	GSM2268402	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561145	SRX2044653	2016-08-24	223	211	Homo sapiens	SRR4055128	SRS1637152	GSM2268403	pooled male and female	7w	hDA1	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561144	SRX2044654	2016-08-24	154	148	Homo sapiens	SRR4055129	SRS1637153	GSM2268404	pooled male and female	7w	hRN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05562049	SRX2044655	2016-08-24	93	90	Homo sapiens	SRR4055130	SRS1637154	GSM2268405	pooled male and female	7w	hProgFPL	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561143	SRX2044656	2016-08-24	133	130	Homo sapiens	SRR4055131	SRS1637155	GSM2268406	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561142	SRX2044657	2016-08-24	106	103	Homo sapiens	SRR4055132	SRS1637156	GSM2268407	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561141	SRX2044658	2016-08-24	106	102	Homo sapiens	SRR4055133	SRS1637157	GSM2268408	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561140	SRX2044659	2016-08-24	213	203	Homo sapiens	SRR4055134	SRS1637158	GSM2268409	pooled male and female	7w	hRgl1	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561139	SRX2044660	2016-08-24	134	130	Homo sapiens	SRR4055135	SRS1637159	GSM2268410	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561138	SRX2044661	2016-08-24	182	175	Homo sapiens	SRR4055136	SRS1637160	GSM2268411	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561137	SRX2044662	2016-08-24	66	64	Homo sapiens	SRR4055137	SRS1637161	GSM2268412	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561136	SRX2044663	2016-08-24	93	90	Homo sapiens	SRR4055138	SRS1637162	GSM2268413	pooled male and female	7w	hNbML5	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561135	SRX2044664	2016-08-24	159	153	Homo sapiens	SRR4055139	SRS1637163	GSM2268414	pooled male and female	7w	hRN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561133	SRX2044666	2016-08-24	80	78	Homo sapiens	SRR4055141	SRS1637164	GSM2268416	pooled male and female	7w	hNbM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561134	SRX2044665	2016-08-24	144	141	Homo sapiens	SRR4055140	SRS1637165	GSM2268415	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
51	SAMN05561132	SRX2044667	2016-08-24	91	88	Homo sapiens	SRR4055142	SRS1637166	GSM2268417	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
