Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Characteristics[cell line]	Characteristics[strain]	Characteristics[specimen with known storage state]	Characteristics[cell cycle stage]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Comment[spike sequence file]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[cell cycle stage]
G1_cell6	ERS527357	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell6	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell6	sequencing assay	ERX538256	G1_Cell6_1.fastq.gz	G1_Cell6_1.fastq.gz	ERR580065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580065/ERR580065_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell6	ERS527357	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell6	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell6	sequencing assay	ERX538256	G1_Cell6_2.fastq.gz	G1_Cell6_2.fastq.gz	ERR580065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580065/ERR580065_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell7	ERS527474	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell7	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell7	sequencing assay	ERX538373	G1_Cell7_1.fastq.gz	G1_Cell7_1.fastq.gz	ERR580207	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580207/ERR580207_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell7	ERS527474	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell7	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell7	sequencing assay	ERX538373	G1_Cell7_2.fastq.gz	G1_Cell7_2.fastq.gz	ERR580207	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580207/ERR580207_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell8	ERS527258	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell8	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell8	sequencing assay	ERX538157	G1_Cell8_1.fastq.gz	G1_Cell8_1.fastq.gz	ERR580012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580012/ERR580012_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell8	ERS527258	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell8	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell8	sequencing assay	ERX538157	G1_Cell8_2.fastq.gz	G1_Cell8_2.fastq.gz	ERR580012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580012/ERR580012_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell9	ERS527311	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell9	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell9	sequencing assay	ERX538210	G1_Cell9_1.fastq.gz	G1_Cell9_1.fastq.gz	ERR580262	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580262/ERR580262_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell9	ERS527311	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell9	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell9	sequencing assay	ERX538210	G1_Cell9_2.fastq.gz	G1_Cell9_2.fastq.gz	ERR580262	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580262/ERR580262_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell10	ERS527359	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell10	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell10	sequencing assay	ERX538258	G1_Cell10_1.fastq.gz	G1_Cell10_1.fastq.gz	ERR580037	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580037/ERR580037_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell10	ERS527359	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell10	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell10	sequencing assay	ERX538258	G1_Cell10_2.fastq.gz	G1_Cell10_2.fastq.gz	ERR580037	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580037/ERR580037_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell11	ERS527350	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell11	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell11	sequencing assay	ERX538249	G1_Cell11_1.fastq.gz	G1_Cell11_1.fastq.gz	ERR580215	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580215/ERR580215_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell11	ERS527350	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell11	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell11	sequencing assay	ERX538249	G1_Cell11_2.fastq.gz	G1_Cell11_2.fastq.gz	ERR580215	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580215/ERR580215_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell12	ERS527435	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell12	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell12	sequencing assay	ERX538334	G1_Cell12_1.fastq.gz	G1_Cell12_1.fastq.gz	ERR580258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580258/ERR580258_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell12	ERS527435	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell12	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell12	sequencing assay	ERX538334	G1_Cell12_2.fastq.gz	G1_Cell12_2.fastq.gz	ERR580258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580258/ERR580258_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell13	ERS527455	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell13	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell13	sequencing assay	ERX538354	G1_Cell13_1.fastq.gz	G1_Cell13_1.fastq.gz	ERR580031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580031/ERR580031_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell13	ERS527455	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell13	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell13	sequencing assay	ERX538354	G1_Cell13_2.fastq.gz	G1_Cell13_2.fastq.gz	ERR580031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580031/ERR580031_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell14	ERS527241	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell14	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell14	sequencing assay	ERX538140	G1_Cell14_1.fastq.gz	G1_Cell14_1.fastq.gz	ERR580277	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580277/ERR580277_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell14	ERS527241	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell14	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell14	sequencing assay	ERX538140	G1_Cell14_2.fastq.gz	G1_Cell14_2.fastq.gz	ERR580277	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580277/ERR580277_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell15	ERS527317	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell15	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell15	sequencing assay	ERX538216	G1_Cell15_1.fastq.gz	G1_Cell15_1.fastq.gz	ERR580175	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580175/ERR580175_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell15	ERS527317	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell15	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell15	sequencing assay	ERX538216	G1_Cell15_2.fastq.gz	G1_Cell15_2.fastq.gz	ERR580175	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580175/ERR580175_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell16	ERS527505	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell16	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell16	sequencing assay	ERX538404	G1_Cell16_1.fastq.gz	G1_Cell16_1.fastq.gz	ERR580295	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580295/ERR580295_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell16	ERS527505	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell16	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell16	sequencing assay	ERX538404	G1_Cell16_2.fastq.gz	G1_Cell16_2.fastq.gz	ERR580295	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580295/ERR580295_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
