BioSample_s	Experiment_s	Instrument_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	age_s	curated_cell_type_s	health_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s	tissue_s
SAMN05216914	SRX1832071	Illumina HiSeq 2000	663	410	SRR3649822	SRS1493149	GSM2194221	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216915	SRX1832072	Illumina HiSeq 2000	855	530	SRR3649823	SRS1493150	GSM2194222	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216916	SRX1832073	Illumina HiSeq 2000	864	537	SRR3649824	SRS1493151	GSM2194223	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216917	SRX1832074	Illumina HiSeq 2000	959	596	SRR3649825	SRS1493152	GSM2194224	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216918	SRX1832075	Illumina HiSeq 2000	758	467	SRR3649826	SRS1493153	GSM2194225	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216919	SRX1832076	Illumina HiSeq 2000	977	605	SRR3649827	SRS1493154	GSM2194226	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216920	SRX1832077	Illumina HiSeq 2000	1076	668	SRR3649828	SRS1493155	GSM2194227	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216921	SRX1832078	Illumina HiSeq 2000	690	432	SRR3649829	SRS1493156	GSM2194228	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216922	SRX1832079	Illumina HiSeq 2000	728	454	SRR3649830	SRS1493157	GSM2194229	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216923	SRX1832080	Illumina HiSeq 2000	868	541	SRR3649831	SRS1493158	GSM2194230	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216924	SRX1832081	Illumina HiSeq 2000	672	418	SRR3649832	SRS1493159	GSM2194231	adult	pp	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216925	SRX1832082	Illumina HiSeq 2000	647	405	SRR3649833	SRS1493160	GSM2194232	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216926	SRX1832083	Illumina HiSeq 2500	795	491	SRR3649834	SRS1493161	GSM2194233	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216927	SRX1832084	Illumina HiSeq 2500	845	520	SRR3649835	SRS1493162	GSM2194234	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217427	SRX1832085	Illumina HiSeq 2500	905	558	SRR3649836	SRS1493163	GSM2194235	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217417	SRX1832086	Illumina HiSeq 2500	914	556	SRR3649837	SRS1493164	GSM2194236	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217418	SRX1832087	Illumina HiSeq 2500	764	472	SRR3649838	SRS1493165	GSM2194237	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217419	SRX1832088	Illumina HiSeq 2500	827	513	SRR3649839	SRS1493166	GSM2194238	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217422	SRX1832089	Illumina HiSeq 2500	1075	663	SRR3649840	SRS1493167	GSM2194239	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217420	SRX1832090	Illumina HiSeq 2500	715	438	SRR3649841	SRS1493168	GSM2194240	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217421	SRX1832091	Illumina HiSeq 2500	946	584	SRR3649842	SRS1493169	GSM2194241	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217423	SRX1832092	Illumina HiSeq 2500	743	451	SRR3649843	SRS1493170	GSM2194242	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217424	SRX1832093	Illumina HiSeq 2500	1037	639	SRR3649844	SRS1493171	GSM2194243	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217425	SRX1832094	Illumina HiSeq 2500	755	464	SRR3649845	SRS1493172	GSM2194244	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217426	SRX1832095	Illumina HiSeq 2500	664	412	SRR3649846	SRS1493173	GSM2194245	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217488	SRX1832096	Illumina HiSeq 2000	45	31	SRR3649847	SRS1493174	GSM2194246	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217488	SRX1832096	Illumina HiSeq 2000	7	5	SRR3649848	SRS1493174	GSM2194246	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217488	SRX1832096	Illumina HiSeq 2000	104	76	SRR3649849	SRS1493174	GSM2194246	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217489	SRX1832097	Illumina HiSeq 2000	113	68	SRR3649850	SRS1493175	GSM2194247	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217489	SRX1832097	Illumina HiSeq 2000	17	12	SRR3649851	SRS1493175	GSM2194247	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217489	SRX1832097	Illumina HiSeq 2000	264	190	SRR3649852	SRS1493175	GSM2194247	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217490	SRX1832098	Illumina HiSeq 2000	100	59	SRR3649853	SRS1493176	GSM2194248	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217490	SRX1832098	Illumina HiSeq 2000	17	13	SRR3649854	SRS1493176	GSM2194248	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217490	SRX1832098	Illumina HiSeq 2000	251	179	SRR3649855	SRS1493176	GSM2194248	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217491	SRX1832099	Illumina HiSeq 2000	85	50	SRR3649856	SRS1493177	GSM2194249	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217491	SRX1832099	Illumina HiSeq 2000	13	10	SRR3649857	SRS1493177	GSM2194249	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217491	SRX1832099	Illumina HiSeq 2000	207	149	SRR3649858	SRS1493177	GSM2194249	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217492	SRX1832100	Illumina HiSeq 2000	75	44	SRR3649859	SRS1493178	GSM2194250	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217492	SRX1832100	Illumina HiSeq 2000	17	13	SRR3649860	SRS1493178	GSM2194250	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217492	SRX1832100	Illumina HiSeq 2000	200	144	SRR3649861	SRS1493178	GSM2194250	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217493	SRX1832101	Illumina HiSeq 2000	88	56	SRR3649862	SRS1493179	GSM2194251	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217493	SRX1832101	Illumina HiSeq 2000	16	12	SRR3649863	SRS1493179	GSM2194251	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217493	SRX1832101	Illumina HiSeq 2000	220	156	SRR3649864	SRS1493179	GSM2194251	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217494	SRX1832102	Illumina HiSeq 2000	117	68	SRR3649865	SRS1493180	GSM2194252	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217494	SRX1832102	Illumina HiSeq 2000	21	15	SRR3649866	SRS1493180	GSM2194252	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217494	SRX1832102	Illumina HiSeq 2000	306	218	SRR3649867	SRS1493180	GSM2194252	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217495	SRX1832103	Illumina HiSeq 2000	93	57	SRR3649868	SRS1493181	GSM2194253	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217495	SRX1832103	Illumina HiSeq 2000	21	16	SRR3649869	SRS1493181	GSM2194253	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217495	SRX1832103	Illumina HiSeq 2000	228	162	SRR3649870	SRS1493181	GSM2194253	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217496	SRX1832104	Illumina HiSeq 2000	119	74	SRR3649871	SRS1493182	GSM2194254	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217496	SRX1832104	Illumina HiSeq 2000	19	14	SRR3649872	SRS1493182	GSM2194254	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217496	SRX1832104	Illumina HiSeq 2000	312	221	SRR3649873	SRS1493182	GSM2194254	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
