BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	developmental_stage_s	gender_s	source_name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s
SAMN05751648	SRX2148106	2016-09-08	14698	7226	SRR4199326	SRS1679284	GSM2306029	19 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751647	SRX2148107	2016-09-08	28695	14027	SRR4199327	SRS1679285	GSM2306030	19 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751646	SRX2148108	2016-09-08	14569	7143	SRR4199328	SRS1679286	GSM2306031	19 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751645	SRX2148109	2016-09-08	30671	15016	SRR4199329	SRS1679287	GSM2306032	19 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751644	SRX2148110	2016-09-08	14593	7163	SRR4199330	SRS1679288	GSM2306033	19 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751643	SRX2148111	2016-09-08	43870	21134	SRR4199331	SRS1679289	GSM2306034	20 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751642	SRX2148112	2016-09-08	57820	28821	SRR4199332	SRS1679290	GSM2306035	21 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751641	SRX2148113	2016-09-08	58217	28950	SRR4199333	SRS1679291	GSM2306036	21 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751640	SRX2148114	2016-09-08	9002	4607	SRR4199334	SRS1679292	GSM2306037	21 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751639	SRX2148115	2016-09-08	1634	824	SRR4199335	SRS1679293	GSM2306038	21 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751638	SRX2148116	2016-09-08	6018	3009	SRR4199336	SRS1679294	GSM2306039	21 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751637	SRX2148117	2016-09-08	23323	11784	SRR4199337	SRS1679295	GSM2306040	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751636	SRX2148118	2016-09-08	12616	6342	SRR4199338	SRS1679296	GSM2306041	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751635	SRX2148119	2016-09-08	35806	18317	SRR4199339	SRS1679297	GSM2306042	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751634	SRX2148120	2016-09-08	15788	7919	SRR4199340	SRS1679298	GSM2306043	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751633	SRX2148121	2016-09-08	28652	14703	SRR4199341	SRS1679301	GSM2306044	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751632	SRX2148122	2016-09-08	19625	10105	SRR4199342	SRS1679300	GSM2306045	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751631	SRX2148123	2016-09-08	24202	12344	SRR4199343	SRS1679299	GSM2306046	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751630	SRX2148124	2016-09-08	14257	7187	SRR4199344	SRS1679303	GSM2306047	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
SAMN05751629	SRX2148125	2016-09-08	50041	25156	SRR4199345	SRS1679302	GSM2306048	25 week gestation	male	Primordial Germ Cells	RNA-Seq	300	PRJNA340388	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2017-04-03	SRP083134	Primordial Germ Cells
