Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	age_s	cell_type_s	source_name_s	strain_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	Platform_s	ReleaseDate_s	SRA_Study_s
RNA-Seq	252	SAMN04313291	SRX1462084	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	780	254	Homo sapiens	SRR2972717	SRS1188274	GSM1962978	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313290	SRX1462083	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	602	199	Homo sapiens	SRR2972716	SRS1188275	GSM1962977	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313232	SRX1462082	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	930	303	Homo sapiens	SRR2972715	SRS1188276	GSM1962976	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313289	SRX1462081	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	996	327	Homo sapiens	SRR2972714	SRS1188277	GSM1962975	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313288	SRX1462080	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	620	205	Homo sapiens	SRR2972713	SRS1188278	GSM1962974	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313287	SRX1462079	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	770	253	Homo sapiens	SRR2972712	SRS1188279	GSM1962973	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313286	SRX1462078	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	751	250	Homo sapiens	SRR2972711	SRS1188280	GSM1962972	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313285	SRX1462077	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	444	145	Homo sapiens	SRR2972710	SRS1188281	GSM1962971	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313284	SRX1462076	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	538	174	Homo sapiens	SRR2972709	SRS1188282	GSM1962970	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313283	SRX1462075	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	422	139	Homo sapiens	SRR2972708	SRS1188283	GSM1962969	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313282	SRX1462074	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	459	152	Homo sapiens	SRR2972707	SRS1188284	GSM1962968	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313281	SRX1462073	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	711	233	Homo sapiens	SRR2972706	SRS1188285	GSM1962967	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313280	SRX1462072	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	905	302	Homo sapiens	SRR2972705	SRS1188286	GSM1962966	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313279	SRX1462071	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	774	254	Homo sapiens	SRR2972704	SRS1188287	GSM1962965	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313278	SRX1462070	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	679	222	Homo sapiens	SRR2972703	SRS1188288	GSM1962964	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313277	SRX1462069	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	834	276	Homo sapiens	SRR2972702	SRS1188289	GSM1962963	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313276	SRX1462068	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	619	203	Homo sapiens	SRR2972701	SRS1188290	GSM1962962	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313275	SRX1462067	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	822	267	Homo sapiens	SRR2972700	SRS1188291	GSM1962961	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313274	SRX1462066	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	622	204	Homo sapiens	SRR2972699	SRS1188292	GSM1962960	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313273	SRX1462065	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	525	172	Homo sapiens	SRR2972698	SRS1188293	GSM1962959	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313272	SRX1462064	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	884	287	Homo sapiens	SRR2972697	SRS1188294	GSM1962958	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313271	SRX1462063	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	702	230	Homo sapiens	SRR2972696	SRS1188295	GSM1962957	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313270	SRX1462062	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	307	105	Homo sapiens	SRR2972695	SRS1188296	GSM1962956	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313269	SRX1462061	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	533	173	Homo sapiens	SRR2972694	SRS1188297	GSM1962955	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313268	SRX1462060	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	604	200	Homo sapiens	SRR2972693	SRS1188298	GSM1962954	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313267	SRX1462059	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	214	70	Homo sapiens	SRR2972692	SRS1188299	GSM1962953	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313266	SRX1462058	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	451	147	Homo sapiens	SRR2972691	SRS1188300	GSM1962952	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313265	SRX1462057	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	587	193	Homo sapiens	SRR2972690	SRS1188301	GSM1962951	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313263	SRX1462055	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	373	122	Homo sapiens	SRR2972688	SRS1188302	GSM1962949	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313322	SRX1462054	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	691	228	Homo sapiens	SRR2972686	SRS1188303	GSM1962948	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313239	SRX1461941	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	491	166	Homo sapiens	SRR2972573	SRS1188271	GSM1962835	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	202	SAMN04313392	SRX1461736	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	133	54	Homo sapiens	SRR2972367	SRS1188268	GSM1962630	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313424	SRX1461797	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	624	199	Homo sapiens	SRR2972428	SRS1188269	GSM1962691	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313321	SRX1462053	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	822	271	Homo sapiens	SRR2972685	SRS1188304	GSM1962947	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313320	SRX1462052	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	870	283	Homo sapiens	SRR2972684	SRS1188305	GSM1962946	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313319	SRX1462051	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	459	150	Homo sapiens	SRR2972683	SRS1188306	GSM1962945	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313318	SRX1462050	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	920	308	Homo sapiens	SRR2972682	SRS1188307	GSM1962944	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313317	SRX1462049	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	707	235	Homo sapiens	SRR2972681	SRS1188308	GSM1962943	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313316	SRX1462048	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	808	264	Homo sapiens	SRR2972680	SRS1188309	GSM1962942	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313315	SRX1462047	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	371	122	Homo sapiens	SRR2972679	SRS1188310	GSM1962941	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313314	SRX1462046	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	1011	338	Homo sapiens	SRR2972678	SRS1188311	GSM1962940	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313313	SRX1462045	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	843	282	Homo sapiens	SRR2972677	SRS1188312	GSM1962939	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313312	SRX1462044	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	452	148	Homo sapiens	SRR2972676	SRS1188313	GSM1962938	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313311	SRX1462043	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	450	149	Homo sapiens	SRR2972675	SRS1188314	GSM1962937	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313310	SRX1462042	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	681	229	Homo sapiens	SRR2972674	SRS1188315	GSM1962936	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313309	SRX1462041	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	341	112	Homo sapiens	SRR2972673	SRS1188316	GSM1962935	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313308	SRX1462040	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	279	91	Homo sapiens	SRR2972672	SRS1188317	GSM1962934	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313307	SRX1462039	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	208	68	Homo sapiens	SRR2972671	SRS1188318	GSM1962933	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313306	SRX1462038	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	373	123	Homo sapiens	SRR2972670	SRS1188319	GSM1962932	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313305	SRX1462037	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	642	216	Homo sapiens	SRR2972669	SRS1188320	GSM1962931	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313304	SRX1462036	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	470	155	Homo sapiens	SRR2972668	SRS1188321	GSM1962930	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313303	SRX1462035	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	420	140	Homo sapiens	SRR2972667	SRS1188322	GSM1962929	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313302	SRX1462034	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	875	296	Homo sapiens	SRR2972666	SRS1188323	GSM1962928	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313301	SRX1462033	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	642	213	Homo sapiens	SRR2972665	SRS1188324	GSM1962927	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313300	SRX1462032	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	523	171	Homo sapiens	SRR2972664	SRS1188325	GSM1962926	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313299	SRX1462031	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	465	153	Homo sapiens	SRR2972663	SRS1188326	GSM1962925	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313298	SRX1462030	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	545	182	Homo sapiens	SRR2972662	SRS1188327	GSM1962924	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313297	SRX1462029	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	378	125	Homo sapiens	SRR2972661	SRS1188328	GSM1962923	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313293	SRX1462028	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	282	92	Homo sapiens	SRR2972660	SRS1188329	GSM1962922	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313219	SRX1462027	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	200	66	Homo sapiens	SRR2972659	SRS1188330	GSM1962921	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313218	SRX1462026	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	416	138	Homo sapiens	SRR2972658	SRS1188331	GSM1962920	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313217	SRX1462025	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	719	236	Homo sapiens	SRR2972657	SRS1188332	GSM1962919	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313216	SRX1462024	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	520	169	Homo sapiens	SRR2972656	SRS1188333	GSM1962918	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313215	SRX1462023	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	330	108	Homo sapiens	SRR2972655	SRS1188334	GSM1962917	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313296	SRX1462022	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	667	222	Homo sapiens	SRR2972654	SRS1188335	GSM1962916	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313295	SRX1462021	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	462	153	Homo sapiens	SRR2972653	SRS1188336	GSM1962915	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313294	SRX1462020	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	447	145	Homo sapiens	SRR2972652	SRS1188337	GSM1962914	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313214	SRX1462019	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	338	111	Homo sapiens	SRR2972651	SRS1188338	GSM1962913	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313213	SRX1462018	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	244	81	Homo sapiens	SRR2972650	SRS1188339	GSM1962912	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
