BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	facs_gating_s	tonsil_donor_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	source_name_s
SAMN03841658	SRX1082417	28	31	SRR2088448	SRS979779	GSM1810883	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841960	SRX1082442	121	132	SRR2088473	SRS979780	GSM1810908	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841877	SRX1082475	33	36	SRR2088506	SRS979781	GSM1810941	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841588	SRX1082502	54	59	SRR2088533	SRS979782	GSM1810968	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841599	SRX1082513	67	73	SRR2088544	SRS979795	GSM1810983	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841600	SRX1082514	42	46	SRR2088545	SRS979794	GSM1810985	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841601	SRX1082515	150	161	SRR2088546	SRS979793	GSM1810987	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841602	SRX1082516	226	239	SRR2088547	SRS979792	GSM1810988	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841603	SRX1082517	205	218	SRR2088548	SRS979791	GSM1810989	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841604	SRX1082518	121	132	SRR2088549	SRS979790	GSM1810990	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841605	SRX1082519	249	262	SRR2088550	SRS979789	GSM1810991	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841606	SRX1082520	130	139	SRR2088551	SRS979788	GSM1810992	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841607	SRX1082521	167	178	SRR2088552	SRS979787	GSM1810993	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841608	SRX1082522	131	140	SRR2088553	SRS979786	GSM1810994	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841609	SRX1082523	73	79	SRR2088554	SRS979785	GSM1810995	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841610	SRX1082524	34	37	SRR2088555	SRS979784	GSM1810996	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841611	SRX1082525	49	53	SRR2088556	SRS979783	GSM1810997	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841881	SRX1082480	93	100	SRR2088511	SRS979827	GSM1810946	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841882	SRX1082481	118	129	SRR2088512	SRS979826	GSM1810947	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841883	SRX1082482	140	150	SRR2088513	SRS979825	GSM1810948	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841884	SRX1082483	33	36	SRR2088514	SRS979824	GSM1810949	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841885	SRX1082484	36	40	SRR2088515	SRS979823	GSM1810950	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841886	SRX1082485	176	188	SRR2088516	SRS979822	GSM1810951	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841887	SRX1082486	167	180	SRR2088517	SRS979821	GSM1810952	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841888	SRX1082487	191	203	SRR2088518	SRS979820	GSM1810953	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841889	SRX1082488	73	81	SRR2088519	SRS979819	GSM1810954	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841890	SRX1082489	155	165	SRR2088520	SRS979818	GSM1810955	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841891	SRX1082490	80	86	SRR2088521	SRS979817	GSM1810956	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841892	SRX1082491	153	164	SRR2088522	SRS979816	GSM1810957	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841893	SRX1082492	110	118	SRR2088523	SRS979815	GSM1810958	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841894	SRX1082493	62	68	SRR2088524	SRS979814	GSM1810959	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841895	SRX1082494	29	31	SRR2088525	SRS979813	GSM1810960	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841896	SRX1082495	90	97	SRR2088526	SRS979812	GSM1810961	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841897	SRX1082496	127	136	SRR2088527	SRS979811	GSM1810962	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841583	SRX1082497	126	135	SRR2088528	SRS979810	GSM1810963	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841584	SRX1082498	92	99	SRR2088529	SRS979809	GSM1810964	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841585	SRX1082499	143	152	SRR2088530	SRS979808	GSM1810965	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841586	SRX1082500	34	37	SRR2088531	SRS979807	GSM1810966	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841587	SRX1082501	58	62	SRR2088532	SRS979806	GSM1810967	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841589	SRX1082503	21	23	SRR2088534	SRS979805	GSM1810969	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841590	SRX1082504	42	46	SRR2088535	SRS979804	GSM1810970	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841591	SRX1082505	187	199	SRR2088536	SRS979803	GSM1810971	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841592	SRX1082506	217	230	SRR2088537	SRS979802	GSM1810972	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841593	SRX1082507	174	186	SRR2088538	SRS979801	GSM1810973	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841594	SRX1082508	77	85	SRR2088539	SRS979800	GSM1810974	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841595	SRX1082509	181	193	SRR2088540	SRS979799	GSM1810975	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841596	SRX1082510	118	127	SRR2088541	SRS979798	GSM1810976	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841597	SRX1082511	153	163	SRR2088542	SRS979797	GSM1810979	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841598	SRX1082512	110	118	SRR2088543	SRS979796	GSM1810981	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841675	SRX1082429	118	129	SRR2088460	SRS979876	GSM1810895	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841676	SRX1082430	162	175	SRR2088461	SRS979875	GSM1810896	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841677	SRX1082431	104	114	SRR2088462	SRS979874	GSM1810897	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841678	SRX1082432	46	52	SRR2088463	SRS979873	GSM1810898	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841679	SRX1082433	116	126	SRR2088464	SRS979872	GSM1810899	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841680	SRX1082434	91	101	SRR2088465	SRS979871	GSM1810900	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841681	SRX1082435	59	65	SRR2088466	SRS979870	GSM1810901	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841682	SRX1082436	114	125	SRR2088467	SRS979869	GSM1810902	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841683	SRX1082437	107	116	SRR2088468	SRS979868	GSM1810903	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841684	SRX1082438	70	77	SRR2088469	SRS979867	GSM1810904	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841685	SRX1082439	23	26	SRR2088470	SRS979866	GSM1810905	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841958	SRX1082440	66	72	SRR2088471	SRS979865	GSM1810906	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841959	SRX1082441	98	107	SRR2088472	SRS979864	GSM1810907	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841961	SRX1082443	107	116	SRR2088474	SRS979863	GSM1810909	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841962	SRX1082444	54	60	SRR2088475	SRS979862	GSM1810910	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841963	SRX1082445	117	127	SRR2088476	SRS979861	GSM1810911	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841964	SRX1082446	91	99	SRR2088477	SRS979858	GSM1810912	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841965	SRX1082447	89	98	SRR2088478	SRS979860	GSM1810913	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
