Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[sample description]	Characteristics[sex]	Characteristics[organism part]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[individual]
ERS639338	House mouse	NCBI Taxonomy	10092	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_3-sc-2208275	ERS639338	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748970_ERX945912	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945912	sequencing assay	ERX945912	ERR866284_1	SC	ERR866284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866284/ERR866284_1.fastq.gz	POMC_GFP_I_3
ERS639338	House mouse	NCBI Taxonomy	10092	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_3-sc-2208275	ERS639338	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748970_ERX945912	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945912	sequencing assay	ERX945912	ERR866284_2	SC	ERR866284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866284/ERR866284_2.fastq.gz	POMC_GFP_I_3
ERS639339	House mouse	NCBI Taxonomy	10093	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_4-sc-2208276	ERS639339	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748971_ERX945817	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945817	sequencing assay	ERX945817	ERR866189_1	SC	ERR866189	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866189/ERR866189_1.fastq.gz	POMC_GFP_I_4
ERS639339	House mouse	NCBI Taxonomy	10093	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_4-sc-2208276	ERS639339	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748971_ERX945817	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945817	sequencing assay	ERX945817	ERR866189_2	SC	ERR866189	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866189/ERR866189_2.fastq.gz	POMC_GFP_I_4
ERS639339	House mouse	NCBI Taxonomy	10093	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_4-sc-2208276	ERS639339	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748971_ERX945913	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945913	sequencing assay	ERX945913	ERR866285_1	SC	ERR866285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866285/ERR866285_1.fastq.gz	POMC_GFP_I_4
ERS639339	House mouse	NCBI Taxonomy	10093	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_4-sc-2208276	ERS639339	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748971_ERX945913	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945913	sequencing assay	ERX945913	ERR866285_2	SC	ERR866285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866285/ERR866285_2.fastq.gz	POMC_GFP_I_4
ERS639340	House mouse	NCBI Taxonomy	10094	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_5-sc-2208277	ERS639340	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748972_ERX945818	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945818	sequencing assay	ERX945818	ERR866190_1	SC	ERR866190	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866190/ERR866190_1.fastq.gz	POMC_GFP_I_5
ERS639340	House mouse	NCBI Taxonomy	10094	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_5-sc-2208277	ERS639340	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748972_ERX945818	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945818	sequencing assay	ERX945818	ERR866190_2	SC	ERR866190	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866190/ERR866190_2.fastq.gz	POMC_GFP_I_5
ERS639340	House mouse	NCBI Taxonomy	10094	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_5-sc-2208277	ERS639340	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748972_ERX945914	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945914	sequencing assay	ERX945914	ERR866286_1	SC	ERR866286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866286/ERR866286_1.fastq.gz	POMC_GFP_I_5
ERS639340	House mouse	NCBI Taxonomy	10094	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_5-sc-2208277	ERS639340	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748972_ERX945914	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945914	sequencing assay	ERX945914	ERR866286_2	SC	ERR866286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866286/ERR866286_2.fastq.gz	POMC_GFP_I_5
ERS639341	House mouse	NCBI Taxonomy	10095	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_6-sc-2208278	ERS639341	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748973_ERX945819	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945819	sequencing assay	ERX945819	ERR866191_1	SC	ERR866191	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866191/ERR866191_1.fastq.gz	POMC_GFP_I_6
ERS639341	House mouse	NCBI Taxonomy	10095	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_6-sc-2208278	ERS639341	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748973_ERX945819	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945819	sequencing assay	ERX945819	ERR866191_2	SC	ERR866191	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866191/ERR866191_2.fastq.gz	POMC_GFP_I_6
ERS639341	House mouse	NCBI Taxonomy	10095	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_6-sc-2208278	ERS639341	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748973_ERX945915	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945915	sequencing assay	ERX945915	ERR866287_1	SC	ERR866287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866287/ERR866287_1.fastq.gz	POMC_GFP_I_6
ERS639341	House mouse	NCBI Taxonomy	10095	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_6-sc-2208278	ERS639341	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748973_ERX945915	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945915	sequencing assay	ERX945915	ERR866287_2	SC	ERR866287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866287/ERR866287_2.fastq.gz	POMC_GFP_I_6
ERS639342	House mouse	NCBI Taxonomy	10096	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_7-sc-2208279	ERS639342	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748974_ERX945820	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945820	sequencing assay	ERX945820	ERR866192_1	SC	ERR866192	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866192/ERR866192_1.fastq.gz	POMC_GFP_I_7
ERS639342	House mouse	NCBI Taxonomy	10096	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_7-sc-2208279	ERS639342	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748974_ERX945820	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945820	sequencing assay	ERX945820	ERR866192_2	SC	ERR866192	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866192/ERR866192_2.fastq.gz	POMC_GFP_I_7
ERS639342	House mouse	NCBI Taxonomy	10096	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_7-sc-2208279	ERS639342	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748974_ERX945916	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945916	sequencing assay	ERX945916	ERR866288_1	SC	ERR866288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866288/ERR866288_1.fastq.gz	POMC_GFP_I_7
ERS639342	House mouse	NCBI Taxonomy	10096	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_7-sc-2208279	ERS639342	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748974_ERX945916	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945916	sequencing assay	ERX945916	ERR866288_2	SC	ERR866288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866288/ERR866288_2.fastq.gz	POMC_GFP_I_7
ERS639343	House mouse	NCBI Taxonomy	10097	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_8-sc-2208280	ERS639343	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748975_ERX945821	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945821	sequencing assay	ERX945821	ERR866193_1	SC	ERR866193	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866193/ERR866193_1.fastq.gz	POMC_GFP_I_8
ERS639343	House mouse	NCBI Taxonomy	10097	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_8-sc-2208280	ERS639343	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748975_ERX945821	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945821	sequencing assay	ERX945821	ERR866193_2	SC	ERR866193	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866193/ERR866193_2.fastq.gz	POMC_GFP_I_8
ERS639343	House mouse	NCBI Taxonomy	10097	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_8-sc-2208280	ERS639343	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748975_ERX945917	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945917	sequencing assay	ERX945917	ERR866289_1	SC	ERR866289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866289/ERR866289_1.fastq.gz	POMC_GFP_I_8
ERS639343	House mouse	NCBI Taxonomy	10097	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_8-sc-2208280	ERS639343	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748975_ERX945917	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945917	sequencing assay	ERX945917	ERR866289_2	SC	ERR866289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866289/ERR866289_2.fastq.gz	POMC_GFP_I_8
ERS639344	House mouse	NCBI Taxonomy	10098	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_9-sc-2208281	ERS639344	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748976_ERX945822	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945822	sequencing assay	ERX945822	ERR866194_1	SC	ERR866194	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866194/ERR866194_1.fastq.gz	POMC_GFP_I_9
ERS639344	House mouse	NCBI Taxonomy	10098	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_9-sc-2208281	ERS639344	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748976_ERX945822	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945822	sequencing assay	ERX945822	ERR866194_2	SC	ERR866194	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866194/ERR866194_2.fastq.gz	POMC_GFP_I_9
ERS639344	House mouse	NCBI Taxonomy	10098	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_9-sc-2208281	ERS639344	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748976_ERX945918	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945918	sequencing assay	ERX945918	ERR866290_1	SC	ERR866290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866290/ERR866290_1.fastq.gz	POMC_GFP_I_9
ERS639344	House mouse	NCBI Taxonomy	10098	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_9-sc-2208281	ERS639344	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748976_ERX945918	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945918	sequencing assay	ERX945918	ERR866290_2	SC	ERR866290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866290/ERR866290_2.fastq.gz	POMC_GFP_I_9
ERS639345	House mouse	NCBI Taxonomy	10099	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_10-sc-2208282	ERS639345	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748977_ERX945823	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945823	sequencing assay	ERX945823	ERR866195_1	SC	ERR866195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866195/ERR866195_1.fastq.gz	POMC_GFP_I_10
ERS639345	House mouse	NCBI Taxonomy	10099	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_10-sc-2208282	ERS639345	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748977_ERX945823	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945823	sequencing assay	ERX945823	ERR866195_2	SC	ERR866195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866195/ERR866195_2.fastq.gz	POMC_GFP_I_10
ERS639345	House mouse	NCBI Taxonomy	10099	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_10-sc-2208282	ERS639345	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748977_ERX945919	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945919	sequencing assay	ERX945919	ERR866291_1	SC	ERR866291	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866291/ERR866291_1.fastq.gz	POMC_GFP_I_10
ERS639345	House mouse	NCBI Taxonomy	10099	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_10-sc-2208282	ERS639345	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748977_ERX945919	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945919	sequencing assay	ERX945919	ERR866291_2	SC	ERR866291	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866291/ERR866291_2.fastq.gz	POMC_GFP_I_10
ERS639346	House mouse	NCBI Taxonomy	10100	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_11-sc-2208283	ERS639346	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748978_ERX945824	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945824	sequencing assay	ERX945824	ERR866196_1	SC	ERR866196	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866196/ERR866196_1.fastq.gz	POMC_GFP_I_11
ERS639346	House mouse	NCBI Taxonomy	10100	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_11-sc-2208283	ERS639346	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748978_ERX945824	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945824	sequencing assay	ERX945824	ERR866196_2	SC	ERR866196	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866196/ERR866196_2.fastq.gz	POMC_GFP_I_11
ERS639346	House mouse	NCBI Taxonomy	10100	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_11-sc-2208283	ERS639346	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748978_ERX945920	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945920	sequencing assay	ERX945920	ERR866292_1	SC	ERR866292	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866292/ERR866292_1.fastq.gz	POMC_GFP_I_11
ERS639346	House mouse	NCBI Taxonomy	10100	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_11-sc-2208283	ERS639346	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748978_ERX945920	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945920	sequencing assay	ERX945920	ERR866292_2	SC	ERR866292	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866292/ERR866292_2.fastq.gz	POMC_GFP_I_11
ERS639347	House mouse	NCBI Taxonomy	10101	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_12-sc-2208284	ERS639347	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748979_ERX945825	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945825	sequencing assay	ERX945825	ERR866197_1	SC	ERR866197	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866197/ERR866197_1.fastq.gz	POMC_GFP_I_12
ERS639347	House mouse	NCBI Taxonomy	10101	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_12-sc-2208284	ERS639347	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748979_ERX945825	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945825	sequencing assay	ERX945825	ERR866197_2	SC	ERR866197	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866197/ERR866197_2.fastq.gz	POMC_GFP_I_12
ERS639347	House mouse	NCBI Taxonomy	10101	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_12-sc-2208284	ERS639347	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748979_ERX945921	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945921	sequencing assay	ERX945921	ERR866293_1	SC	ERR866293	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866293/ERR866293_1.fastq.gz	POMC_GFP_I_12
ERS639347	House mouse	NCBI Taxonomy	10101	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_12-sc-2208284	ERS639347	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748979_ERX945921	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945921	sequencing assay	ERX945921	ERR866293_2	SC	ERR866293	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866293/ERR866293_2.fastq.gz	POMC_GFP_I_12
ERS639348	House mouse	NCBI Taxonomy	10102	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_13-sc-2208285	ERS639348	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748980_ERX945826	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945826	sequencing assay	ERX945826	ERR866198_1	SC	ERR866198	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866198/ERR866198_1.fastq.gz	POMC_GFP_I_13
